VIN,Year,Make,Model,Trim,Exterior Color,Interior Color,Odometer,MSRP,Stock Number,Fuel Economy
1FT8W2BN9SED68981,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$61,660",SED68981,
1FT8W2BN5SED69108,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$61,660",SED69108,
1FTBF2BT6SED66190,2025,Ford,F-250,XLT,Oxford White,Medium Dark,0,"$62,280",SED66190,
1FT7W2BN7SEC36684,2025,Ford,F-250,XLT,Antimatter Blue,Medium Dark Slate,0,"$62,250",SEC36684,
1FT7W2BN9SEC79391,2025,Ford,F-250,XLT,Oxford White,Medium Dark Slate,0,"$62,470",SEC79391,
1FT7W2BN0SEC78422,2025,Ford,F-250,XLT,Gray Metallic,Medium Dark Slate,0,"$62,470",SEC78422,
1FT8X2BT4SEE12526,2025,Ford,F-250,XL,Oxford White,Med Dark Slate,0,"$66,150",SEE12526,
1FT7W2BT0SEC84459,2025,Ford,F-250,XLT,Oxford White,Medium Dark Slate,0,"$72,395",SEC84459,
1FT8W2BT0SEC76060,2025,Ford,F-250,XLT,Avalanche,Medium Dark Slate,0,"$73,580",SEC76060,
1FT8W2BT4SEC77647,2025,Ford,F-250,XLT,Antimatter Blue,Medium Dark Slate,0,"$73,580",SEC77647,
1FT8W2BTXSEC77183,2025,Ford,F-250,XLT,Oxford White,Medium Dark Slate,0,"$73,580",SEC77183,
1FT8W2BT4SEC65403,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$73,985",SEC65403,
1FTBF2AT3SED15764,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$90,980",SED15764,
1FT8W2BT5SED34664,2025,Ford,F-250,Lariat,Avalanche,Black Onyx,0,"$82,690",SED34664,
1FT8W2BT7SEC64486,2025,Ford,F-250,Lariat,Gray Metallic,Black Onyx,0,"$87,655",SEC64486,
1FT8W2BT8SEC28936,2025,Ford,F-250,Lariat,Glacier Gray Metallic Tri-Coat,Black Onyx,0,"$88,430",SEC28936,
1FT8W2BT3SEC82208,2025,Ford,F-250,Lariat,Gray Metallic,Black Onyx,0,"$89,380",SEC82208,
1FT8W2BT3SEC08318,2025,Ford,F-250,Lariat,Agate Black,Black Onyx,0,"$90,125",SEC08318,
1FT8W2BM4SEC37125,2025,Ford,F-250,Lariat,Gray Metallic,Black Onyx,0,"$92,310",SEC37125,
1FT8W2BT2SED96927,2025,Ford,F-250,Lariat,Gray,Black Onyx,0,"$92,805",SED96927,
1FT8W2BM0SED03170,2025,Ford,F-250,Lariat,Avalanche,Black Onyx,0,"$93,295",SED03170,
1FT8W2BM7SED83423,2025,Ford,F-250,Lariat,Gray,Black Onyx,0,"$95,340",SED83423,
1FT8W2BT3SED68635,2025,Ford,F-250,Platinum,Oxford White,Black Onyx/Platinum Blue,0,"$96,695",SED68635,
1FT8W2BT0TEC44713,2026,Ford,F-250,Lariat,Oxford White,Baja Active,0,"$84,660",TEC44713,
1FT8W2BT6TEC05057,2026,Ford,F-250,Lariat,Gray,Black Onyx,0,"$88,035",TEC05057,
1FT8W2BTXTEC04428,2026,Ford,F-250,Lariat,Gray,Black Onyx,0,"$93,325",TEC04428,
1FT8W2BM6TEC13779,2026,Ford,F-250,Lariat,Oxford White,Black Onyx,0,"$97,400",TEC13779,
1FT8W2BM3TEC13447,2026,Ford,F-250,Platinum,Agate Black,Black Onyx,0,"$99,445",TEC13447,
1FT8W2BM1TEC35544,2026,Ford,F-250,King Ranch,Oxford White,Gray,0,"$100,080",TEC35544,
1FT8W2BM4TEC04482,2026,Ford,F-250,Platinum,Oxford White,Black Onyx,0,"$100,660",TEC04482,
1FT8W2BM6TEC11711,2026,Ford,F-250,Platinum,Gray,Black Onyx,0,"$103,340",TEC11711,
