year,make,model,trim,vin,stockNumber,msrp,internetPrice,salePrice,mileage,extColor,intColor,bodyStyle,engine,transmission,driveLine,status,primary_image_url
2025,Ford,F-150,XLT,1FTFW3LD7SFB16725,SFB16725,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD5SFB16738,SFB16738,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD1SFB16722,SFB16722,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD4SFB16665,SFB16665,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD3SFB16740,SFB16740,,,,,,,Truck SuperCrew Cab,,,,in_transit,
2025,Ford,F-150,XLT,1FTFW3L53SKE92340,SKE92340,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD8SFB58577,SFB58577,,,,,,,Truck SuperCrew Cab,,,,in_transit,
2025,Ford,F-150,XLT,1FTFW3LD6SFB45424,SFB45424,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LDXSFB45412,SFB45412,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LDXSFB45443,SFB45443,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD8SFB67389,SFB67389,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD2SFB67386,SFB67386,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD4SFB67373,SFB67373,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD5SFB67382,SFB67382,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD6SFB67360,SFB67360,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD6SFB91836,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,XLT,1FTFW3LD5SFB91830,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,XLT,1FTFW3LD2SFB45453,SFB45453,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD3SFB45431,SFB45431,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD4SFB45437,SFB45437,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD5SFB70086,SFB70086,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3L8XSKE65937,SKE65937,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Tremor,1FTFW4L56SFB71147,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Tremor,1FTFW4L57SFB22250,SFB22250,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Tremor,1FTFW4L53SFB65435,SFB65435,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Tremor,1FTFW4L52SFB63806,SFB63806,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Tremor,1FTFW4L58SFB64894,SFB64894,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Tremor,1FTFW4L55SFB70720,SFB70720,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Tremor,1FTFW4L55SFB76761,SFB76761,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Lariat,1FTFW5L8XSKD35281,SKD35281,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Lariat,1FTFW5LD4SFB86162,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Lariat,1FTFW5LD4SFB87781,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Lariat,1FTFW5L82SFB53065,SFB53065,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Lariat,1FTFW5LD1SFB32527,SFB32527,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Lariat,1FTFW5LD2SFC00866,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Lariat,1FTFW5LD3SFC00956,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Lariat,1FTFW5LD2SFB42094,SFB42094,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Lariat,1FTFW5LD1SFB44239,SFB44239,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,Platinum,1FTFW7LD5SFB88014,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Platinum,1FTFW7LD6SFB87793,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,Platinum,1FTFW7LD3SFB88402,,,,,,,,TRUCK,,,,in_transit,
2023,Ford,F-250,XL,1FTBF2AA8PED32520,230842,,,,,,,Truck Regular Cab,,,,live,
2023,Ford,F-250,XL,1FTBF2AA9PEC61439,230457,,,,,,,Truck Regular Cab,,,,live,
2024,Ford,F-250,XL,1FTBF2AA1REF89330,241342,,,,,,,Truck Regular Cab,,,,live,
2024,Ford,F-250,XL,1FTBF2AA0REF89495,241364,,,,,,,Truck Regular Cab,,,,live,
2024,Ford,F-250,XL,1FTBF2AA6REC55889,240184,,,,,,,Truck Regular Cab,,,,live,
2024,Ford,F-250,XL,1FTBF2AA7REC55903,240232,,,,,,,Truck Regular Cab,,,,live,
2024,Ford,F-250,XLT,1FT7W2BT1REC89924,240329,,,,,,,Truck Crew Cab,,,,live,
2024,Ford,F-250,Lariat,1FT8W2BT8REC24637,240185,,,,,,,Truck Crew Cab,,,,live,
2024,Ford,F-250,Platinum,1FT8W2BT2RED04399,240515,,,,,,,Truck Crew Cab,,,,live,
