index,title,stock,vin,msrp,discounts,rebates,retail_price,exterior,interior,status,mpg
276,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (AWD)","SMA09762","3FMTK3SUXSMA09762","52,680","-1,003","-2,000","49,677","Glacier Gray TriCoat","Black Onyx","IN STOCK","95/88"
277,"2025 Ford Transit-150 Cargo Base Van Medium Roof Van V-6 cyl","SKA92761","1FTYE1C87SKA92761","52,790","-1,000","-1,500","50,290","Oxford White","Dark Palazzo","IN STOCK","N/A"
278,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA93622","1FTBR1Y85SKA93622","53,030","-1,000","-1,500","50,530","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
279,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA34201","1FTBR1Y85SKA34201","53,540","-1,000","-1,500","51,040","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
280,"2025 Ford Transit Commercial Cargo Van VAN PFDi V6 Engine","N/A","1FTBR1X88SKA97309","55,160","N/A","N/A","N/A","Oxford White","Dark Palazzo","N/A","N/A"
281,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA94952","1FTBR1Y89SKA94952","52,840","N/A","-1,500","51,340","Oxford White","Dark Palazzo","IN STOCK","N/A"
282,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA94861","1FTBR1Y86SKA94861","52,840","N/A","-1,500","51,340","Oxford White","Dark Palazzo","IN STOCK","N/A"
283,"2025 Ford Bronco Outer Banks SUV I-4 cyl","SLA72604","1FMDE8BH3SLA72604","54,850","-1,906","-1,000","51,944","Shadow Black","Smoked Truffle","IN STOCK","20/21"
284,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (AWD)","SMA37299","3FMTK3SUXSMA37299","54,010","-1,029","-2,000","50,981","Eruption Green","Blk Perforated","IN STOCK","95/88"
285,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA93620","1FTBR1Y81SKA93620","53,030","N/A","-1,500","51,530","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
286,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA93624","1FTBR1Y89SKA93624","53,030","N/A","-1,500","51,530","Oxford White","Dark Palazzo","IN STOCK","N/A"
287,"2025 Ford Transit-250 Cargo Base Van Low Roof Van V-6 cyl","SKA93446","1FTBR1Y80SKA93446","53,030","N/A","-1,500","51,530","Oxford White","Dark Palazzo","IN STOCK","N/A"
288,"2025 Ford Transit-250 Cargo Base Van Medium Roof Van V-6 cyl","SKA04896","1FTBR1C85SKA04896","54,135","-1,000","N/A","53,135","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
289,"2025 Ford Bronco Outer Banks SUV I-4 cyl","SLA67645","1FMDE8BH3SLA67645","55,245","-1,930","-1,000","52,315","Eruption Green","Black","IN STOCK","20/21"
290,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R76SMA39048","54,200","N/A","N/A","N/A","Velocity Blue Metallic","Black Onyx","N/A","106/"
291,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R78SMA43215","54,700","N/A","N/A","N/A","Star White Metallic Tri-Coat","Black Onyx","N/A","106/"
292,"2025 Ford Transit-350 Cargo Base Van Medium Roof Van V-6 cyl","SKA93618","1FTBW9C85SKA93618","55,155","-1,000","N/A","54,155","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
293,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R7XSMA43538","55,250","N/A","N/A","N/A","Glacier Gray Metallic Tri-Coat","Black Onyx","N/A","106/"
294,"2025 Ford Transit Commercial Cargo Van VAN PFDi V6 Engine","N/A","1FTBW1Y84SKB22049","57,465","N/A","N/A","N/A","Oxford White","Dark Palazzo","N/A","N/A"
295,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED33317","1FT8W3BA6SED33317","56,605","-1,745","-1,500","53,360","Oxford White","Medium Dark Slate","IN STOCK","N/A"
296,"2025 Ford Transit-350 Cargo Base Van Medium Roof Van V-6 cyl","SKA93187","1FTBW9C84SKA93187","55,155","N/A","N/A","55,155","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
297,"2025 Ford Bronco Outer Banks SUV EcoBoost V6 Engine","N/A","1FMEE8BPXSLB21745","58,190","N/A","N/A","N/A","Azure Gray Metallic Tri-Coat","Black Onyx","N/A","19/21"
298,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (AWD)","SMA32564","3FMTK3SU0SMA32564","57,505","-1,099","N/A","56,406","Star White Tri-Coat","Blk Perforated","IN STOCK","95/88"
299,"2025 Ford Bronco Outer Banks SUV V-6 cyl","SLA69773","1FMEE8BP6SLA69773","58,690","-2,129","-1,000","55,561","Marsh Gray","Black Onyx","IN STOCK","20/21"
300,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (AWD)","N/A","3FMTK3SU1SMA40849","57,700","N/A","N/A","N/A","Glacier Gray Metallic Tri-Coat","Black Onyx","N/A","95/"
301,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (AWD)","N/A","3FMTK3SU8SMA47412","57,750","N/A","N/A","N/A","Velocity Blue Metallic","Black Onyx","N/A","95/"
302,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (AWD)","N/A","3FMTK3SU8SMA47491","57,750","N/A","N/A","N/A","Eruption Green Metallic","Black Onyx","N/A","95/"
303,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (AWD)","N/A","3FMTK3SU1SMA41385","58,250","N/A","N/A","N/A","Star White Metallic Tri-Coat","Black Onyx","N/A","95/"
304,"2025 Ford Mustang Mach-E GT SUV Extended Range Battery (AWD)","SMA03923","3FMTK4SX0SMA03923","59,880","-1,256","-2,000","56,624","Shadow Black","Performance Gray","IN STOCK","95/85"
305,"2025 Ford Transit-350 Cargo Base Van High Roof Van V-6 cyl","SKA32012","1FTBW2X83SKA32012","59,890","N/A","N/A","59,890","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
306,"2025 Ford Mustang Mach-E GT SUV Extended Range Battery (AWD)","SMA24318","3FMTK4SX0SMA24318","61,305","-1,284","-2,000","58,021","Star White Tri-Coat","Gray","IN STOCK","95/85"
307,"2025 Ford Mustang GT Premium Fastback CAR Ti-VCT V8 Engine with Stop/Start System","N/A","1FA6P8CFXS5416492","63,470","N/A","N/A","N/A","Vapor Blue Metallic","Black Onyx","N/A","16/24"
308,"2025 Ford Mustang GT Premium Coupe V-8 cyl","S5412479","1FA6P8CF9S5412479","64,365","-3,194","-2,500","58,671","Carbonized Gray","Black Onyx","IN STOCK","15/24"
309,"2025 Ford Mustang Mach-E GT CROSSOVERS Extended Range Battery (AWD)","N/A","3FMTK4SX8SMA43151","62,500","N/A","N/A","N/A","Shadow Black","Performance Gray with City Silver Stitching","N/A","95/"
310,"2025 Ford Bronco Outer Banks SUV EcoBoost V6 Engine","N/A","1FMEE8BP5SLB07462","63,660","N/A","N/A","N/A","Oxford White","Black Onyx","N/A","17/18"
311,"2025 Ford Bronco Outer Banks SUV V-6 cyl","SLB07971","1FMEE8BP4SLB07971","64,055","-2,445","-1,000","60,610","Gray","Smkd Truffle","IN STOCK","20/21"
312,"2025 Ford F-350 XL Truck Regular Cab V-8 cyl","SED21297","1FTRF3BT2SED21297","64,595","-2,533","-1,500","60,562","Oxford White","Medium Dark Slate","IN STOCK","N/A"
313,"2025 Ford Mustang GT Premium Coupe V-8 cyl","S5410336","1FA6P8CFXS5410336","65,750","-3,278","-2,500","59,972","Oxford White","Carmine Red","IN STOCK","15/24"
314,"2025 Ford F-350 XLT Truck Crew Cab V-8 cyl","SED26006","1FT8W3BN5SED26006","66,390","-2,472","-1,500","62,418","Oxford White","Medium Dark Slate","IN STOCK","N/A"
315,"2025 Ford F-350 XLT Truck Crew Cab V-8 cyl","SED28143","1FT8W3BN3SED28143","66,390","-2,472","-1,500","62,418","Oxford White","Medium Dark Slate","IN STOCK","N/A"
316,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED65739","1FT8W3BT3SED65739","66,660","-2,538","-1,500","62,622","Oxford White","Med Dark Slate","IN STOCK","N/A"
317,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED64515","1FT8W3BT9SED64515","66,660","-2,538","-1,500","62,622","Oxford White","Med Dark Slate","IN STOCK","N/A"
318,"2025 Ford F-150 Lightning XLT TRUCK Dual eMotor - 98 kWh Standard Range Battery","N/A","1FTVW3LK7SWG22050","66,710","N/A","N/A","N/A","Antimatter Blue Metallic","Medium Dark Slate","N/A","76/"
319,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED19080","1FT8W3BT6SED19080","66,985","-2,684","-1,500","62,801","Oxford White","Medium Dark Slate","IN STOCK","N/A"
320,"2025 Ford F-150 Lightning XLT Truck SuperCrew Cab Dual eMotor - 98 kWh Standard Range Battery","SWG16244","1FTVW3LK1SWG16244","65,965","-1,539","-1,000","63,426","White Metallic","Medium Dark Slate","IN STOCK","76/61"
321,"2025 Ford F-150 Lightning XLT TRUCK Dual eMotor - 98 kWh Standard Range Battery","N/A","1FTVW3LK4SWG24595","67,515","N/A","N/A","N/A","Carbonized Gray Metallic","Medium Dark Slate","N/A","76/"
322,"2025 Ford Transit Commercial Passenger Van XLT VAN EcoBoost V6 Engine","N/A","1FBAX2XG1SKB16463","68,430","N/A","N/A","N/A","Oxford White","Dark Palazzo","N/A","N/A"
323,"2025 Ford Transit Commercial Passenger Van XLT VAN EcoBoost V6 Engine","N/A","1FBAX2XG3SKB16674","68,430","N/A","N/A","N/A","Oxford White","Dark Palazzo","N/A","N/A"
324,"2025 Ford Bronco Badlands SUV V-6 cyl","SLA94352","1FMEE9BP0SLA94352","69,320","-2,699","-1,000","65,621","Gray","Lthr Blk","IN STOCK","16/17"
325,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED32456","1FT8W3DT6SED32456","69,655","-2,857","-1,500","65,298","Oxford White","Medium Dark Slate","IN STOCK","N/A"
326,"2025 Ford F-350 Chassis XL Truck Super Cab V-8 cyl","SEE03291","1FD8X3FT8SEE03291","69,480","-2,679","N/A","66,801","Oxford White","Med Dark Slate","IN STOCK","N/A"
327,"2025 Ford F-350 Chassis XL Truck Super Cab V-8 cyl","SEE06220","1FD8X3FT0SEE06220","69,480","-2,679","N/A","66,801","Oxford White","Med Dark Slate","IN STOCK","N/A"
328,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED32717","1FT8W3DT8SED32717","69,970","-2,886","-1,500","65,584","Gray Metallic","Medium Dark Slate","IN STOCK","N/A"
329,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED32419","1FT8W3BA9SED32419","69,039","-1,745","-1,500","65,794","Oxford White","Medium Dark Slate","IN STOCK","N/A"
330,"2025 Ford F-150 Lightning Flash Truck SuperCrew Cab Dual eMotor - 123 kWh Extended Range Battery","SWG18438","1FT6W3LU5SWG18438","71,395","-2,756","-1,000","67,639","Carbonized Gray","Medium Dark Slate","IN STOCK","N/A"
331,"2025 Ford F-350 XL Truck Crew Cab V-8 cyl","SED25791","1FT8W3DT7SED25791","72,870","-3,144","-1,500","68,226","Oxford White","Medium Dark Slate","IN STOCK","N/A"
332,"2025 Ford F-150 Lightning Flash Truck SuperCrew Cab","SWG19749","1FT6W3LU5SWG19749","72,595","-2,805","-1,000","68,790","Carbonized Gray","Medium Dark Slate","IN STOCK","N/A"
333,"2025 Ford Bronco Badlands SUV V-6 cyl","SLA95517","1FMEE9BP0SLA95517","73,390","-2,912","-1,000","69,478","N/A","N/A","IN STOCK","16/17"
334,"2025 Ford F-150 Lightning Flash TRUCK Dual eMotor - 123 kWh Extended Range Battery","N/A","1FT6W3LU5SWG23347","73,395","N/A","N/A","N/A","Agate Black Metallic","Medium Dark Slate","N/A","N/A"
335,"2025 Ford F-150 Lightning Flash TRUCK Dual eMotor - 123 kWh Extended Range Battery","N/A","1FT6W3LU2SWG23516","74,595","N/A","N/A","N/A","Iconic Silver Metallic","Medium Dark Slate","N/A","N/A"
336,"2025 Ford F-150 Lightning Flash TRUCK Dual eMotor - 123 kWh Extended Range Battery","N/A","1FT6W3LU9SWG19124","74,595","N/A","N/A","N/A","Oxford White","Medium Dark Slate","N/A","N/A"
337,"2025 Ford F-150 Lightning Flash TRUCK Dual eMotor - 123 kWh Extended Range Battery","N/A","1FTVW3LU6SWG23207","75,370","N/A","N/A","N/A","Agate Black Metallic","Medium Dark Slate","N/A","N/A"
338,"2025 Ford Mustang Dark Horse Coupe V-8 cyl","S5501046","1FA6P8R03S5501046","72,665","N/A","N/A","72,665","Shadow Black","Black W/Blue Accents","IN STOCK","14/22"
339,"2025 Ford Mustang Dark Horse Coupe V-8 cyl","S5502845","1FA6P8R05S5502845","73,560","N/A","N/A","73,560","Blue","Blk/Blu Dinamic","IN STOCK","14/22"
340,"2025 Ford F-150 Lightning Lariat TRUCK Dual eMotor - 131 kWH Extended Range Battery","N/A","1FT6W5L72SWG22016","79,965","N/A","N/A","N/A","Oxford White","Black","N/A","78/"
341,"2025 Ford F-150 Lightning Platinum Truck SuperCrew Cab Dual eMotor - 131 kWH Extended Range Battery","SWG19204","1FT6W7L75SWG19204","88,960","-3,459","-2,000","83,501","White","Space Gray","IN STOCK","73/60"
342,"2025 Ford Bronco Raptor SUV V-6 cyl","SLA91671","1FMEE0RR8SLA91671","89,200","-2,152","N/A","87,048","Shelter Green","Onyx","IN STOCK","15/16"
343,"2025 Ford F-350 Lariat Truck Crew Cab V-8 cyl","250090","1FT8W3BT0SEC20254","92,040","-4,313","N/A","87,727","Avalanche","Black Onyx","IN STOCK","N/A"
344,"2025 Ford F-350 Lariat Truck Crew Cab V-8 cyl","SEC77797","1FT8W3DT8SEC77797","93,540","-4,329","N/A","89,211","Oxford White","Baja","IN STOCK","N/A"
345,"2025 Ford F-350 Lariat Truck Crew Cab V-8 cyl","SED96716","1FT8W3DT7SED96716","93,540","-4,314","N/A","89,226","Gray","Black Onyx","N/A","N/A"
346,"2025 Ford Bronco Raptor SUV EcoBoost V6 Engine","N/A","1FMEE0RR9SLB06033","89,800","N/A","N/A","N/A","Azure Gray Metallic Tri-Coat","Black Onyx","N/A","15/16"
347,"2025 Ford Bronco Raptor SUV EcoBoost V6 Engine","N/A","1FMEE0RR2SLA91777","92,780","N/A","N/A","N/A","Oxford White","Black Onyx","N/A","15/16"
348,"2025 Ford F-350 Lariat Truck Crew Cab V-8 cyl","SEE02024","1FT8W3BM5SEE02024","98,335","-4,871","N/A","93,464","Oxford White","Black Onyx","IN STOCK","N/A"
349,"2025 Ford Bronco Raptor SUV EcoBoost V6 Engine","N/A","1FMEE0RR5SLB19409","93,875","N/A","N/A","N/A","Azure Gray Metallic Tri-Coat","Black Onyx","N/A","15/16"
350,"2025 Ford F-650 Gas Base Truck Regular Cab V-8 cyl","240709UP","1FDNF6AN4SDF02714","110,098","-16,116","N/A","93,982","Oxford White","Gray","IN STOCK","N/A"
351,"2025 Ford F-350 King Ranch Truck Crew Cab V-8 cyl","SEC39694","1FT8W3BM1SEC39694","98,940","-4,455","N/A","94,485","Brown","Java","IN STOCK","N/A"
352,"2025 Ford F-350 Platinum Truck Crew Cab V-8 cyl","SEC67385","1FT8W3BM7SEC67385","100,060","-4,453","N/A","95,607","Agate Black","Black Onyx/Platinum Blue","IN STOCK","N/A"
353,"2025 Ford F-350 King Ranch Truck Crew Cab V-8 cyl","SED98053","1FT8W3BM1SED98053","101,170","-4,636","N/A","96,534","Oxford White","Java","IN STOCK","N/A"
354,"2025 Ford F-450 Platinum Truck Crew Cab V-8 cyl","SED73512","1FT8W4DMXSED73512","103,770","N/A","N/A","103,770","Agate Black","Black Onyx/Platinum Blue","IN STOCK","N/A"
