VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
1FTEW2LP9SKF55125,,"$53,590",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,CARBONIZED GRAY METALLIC,BLACK  CLOTH,40/console/40,200A
1FTEW2LP2SFC00919,SFC00919,"$54,535",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,MARSH GRAY,BLACK/BRONZE,40/console/40,201A
1FTEW2LP1SKF15458,SKF15458,"$55,395",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,SPACE WHITE METALLIC,BLACK  CLOTH,40/console/40,200A
1FTEW2LP5SKF28052,SKF28052,"$57,140",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,BLACK/BRONZE,40/console/40,201A
1FTEW2LPXSKF23624,SKF23624,"$58,000",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,CARBONIZED GRAY METALLIC,BLACK  CLOTH,40/console/40,200A
1FTEW2LP7SKF17635,SKF17635,"$58,495",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,RAPID RED MET TINTED CC,BLACK  CLOTH,40/console/40,200A
1FTEW3K58SKE09725,SKE09725,"$60,195",2025,Ford,F-150,XLT,4X2,SUPERCREW EXTERIOR,"145""",5.0L V8 ENGINE,ELEC TEN-SPEED AUTO TRANS,RAPID RED MET TINTED CC,MD DARK SLATE CLOTH 40/C/40,,302A
1FTFW3LD7SFA78087,SFA78087,"$61,565",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,ATLAS BLUE METALLIC,SMOKED TRUFFLE,40/console/40,302A
1FTFW3LD7SFA84729,SFA84729,"$62,335",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,RAPID RED MET TINTED CC,SMOKED TRUFFLE,40/console/40,302A
1FTFW3LD8SFB42282,SFB42282,"$63,920",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD7SFB16725,SFB16725,"$64,030",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD5SFB16738,SFB16738,"$64,030",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD1SFB16722,SFB16722,"$64,030",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,SPACE WHITE METALLIC,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD3SFB16740,SFB16740,"$64,030",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,SPACE WHITE METALLIC,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD4SFB16665,SFB16665,"$64,030",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD6SFB91836,SFB91836,"$65,630",2025,Ford,F-150,XLT,4X4,SUPERCREW EXTERIOR,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,OXFORD WHITE,BLACK SPORT CLOTH,40/console/40,302A
1FTFW3LD6SFB45424,SFB45424,"$65,630",,Ford,,XLT,4X4,SUPERCREW,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH 40/CON/40,,302A
1FTFW3LDXSFB45412,SFB45412,"$65,630",,Ford,,XLT,4X4,SUPERCREW,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH 40/CON/40,,302A
1FTFW3LDXSFB45443,SFB45443,"$65,630",,Ford,,XLT,4X4,SUPERCREW,"145""",3.5L POWERBOOST FULL HYBRID,HYBRID ELEC 10-SPD AUTO TRA,CARBONIZED GRAY METALLIC,BLACK SPORT CLOTH 40/CON/40,,302A
1FTFW3LD8SFB67389,SFB67389,"$65,630",,Ford,,XLT,,,,,,,,,
1FTFW3LD4SFB67373,SFB67373,"$65,630",,Ford,,XLT,,,,,,,,,
1FTFW3LD6SFB67360,SFB67360,"$65,630",,Ford,,XLT,,,,,,,,,
1FTFW3LD4SFB67387,SFB67387,"$65,630",,Ford,,XLT,,,,,,,,,
1FTFW3LD2SFB45453,SFB45453,"$66,025",,Ford,,XLT,,,,,,,,,
1FTFW3LD3SFB45431,SFB45431,"$66,025",,Ford,,XLT,,,,,,,,,
1FTFW3LD4SFB45437,SFB45437,"$66,025",,Ford,,XLT,,,,,,,,,
1FTFW3LD5SFC08237,,"$66,330",,Ford,,XLT,,,,,,,,,
1FTFW3L8XSKE65937,SKE65937,"$67,350",,Ford,,XLT,,,,,,,,,
1FTFW3LD5SFB91830,SFB91830,"$69,530",,Ford,,XLT,,,,,,,,,
1FTFW4L57SFB22250,SFB22250,"$69,290",,Ford,,Tremor,,,,,,,,,
1FTFW4L54SFC19700,,"$70,565",,Ford,,Tremor,,,,,,,,,
1FTFW4L53SFB65435,SFB65435,"$70,165",,Ford,,Tremor,,,,,,,,,
1FTFW4L52SFB63806,SFB63806,"$70,560",,Ford,,Tremor,,,,,,,,,
1FTFW4L58SFB64894,SFB64894,"$70,560",,Ford,,Tremor,,,,,,,,,
1FTFW4L55SFB70720,SFB70720,"$70,560",,Ford,,Tremor,,,,,,,,,
1FTFW4L55SFB76761,SFB76761,"$70,560",,Ford,,Tremor,,,,,,,,,
1FTFW3LDXSFC03907,SFC03907,"$72,260",,Ford,,XLT,,,,,,,,,
1FTFW5LD4SFB86162,SFB86162,"$75,340",,Ford,,Lariat,,,,,,,,,
1FTFW5LD4SFB87781,SFB87781,"$75,945",,Ford,,Lariat,,,,,,,,,
1FTFW5LD2SFC00866,,"$78,095",,Ford,,Lariat,,,,,,,,,
1FTFW5LD3SFC00956,,"$78,490",,Ford,,Lariat,,,,,,,,,
1FTFW5LD2SFB42094,SFB42094,"$77,815",,Ford,,Lariat,,,,,,,,,
1FTFW5LD8SFC00029,,"$79,090",,Ford,,Lariat,,,,,,,,,
1FTFW5LD9SFC16286,,"$79,490",,Ford,,Lariat,,,,,,,,,
1FTFW6LD7SFB88882,,"$80,620",,Ford,,King Ranch,,,,,,,,,
1FTFW4L53SFC02452,,"$80,940",,Ford,,Tremor,,,,,,,,,
1FTFW4L56SFC04485,,"$81,335",,Ford,,Tremor,,,,,,,,,
1FTFW5LD1SFC00616,SFC00616,"$83,470",,Ford,,Lariat,,,,,,,,,
1FTFW7LD5SFB88014,,"$85,585",,Ford,,Platinum,,,,,,,,,
1FTFW7LD6SFB87793,SFB87793,"$86,205",,Ford,,Platinum,,,,,,,,,
1FTFW7LD3SFB88402,SFB88402,"$86,805",,Ford,,Platinum,,,,,,,,,
1FTFW1RGXSFB73524,,"$83,715",,Ford,,Raptor,,,,,,,,,
1FTBF2AA8PED32520,230842,"$46,175",,Ford,,XL,,,,,,,,,
1FTBF2AA9PEC61439,230457,"$49,975",,Ford,,XL,,,,,,,,,
1FTBF2AA0REF89495,241364,"$47,710",,Ford,,XL,,,,,,,,,
1FTBF2AA6REC55889,240184,"$47,870",,Ford,,XL,,,,,,,,,
1FTBF2AA7REC55903,240232,"$47,870",,Ford,,XL,,,,,,,,,
1FT8W2BT8REC24637,240185,"$85,895",,Ford,,Lariat,,,,,,,,,
1FT8W2BT3REC96975,240630,"$94,990",,Ford,,Platinum,,,,,,,,,
1FT8W2BT2RED04399,240515,"$93,995",,Ford,,Platinum,,,,,,,,,
1FTBF2AA4SEC68176,SEC68176,"$47,760",,Ford,,XL,,,,,,,,,
1FTBF2AAXSED04548,SED04548,"$49,815",,Ford,,XL,,,,,,,,,
1FT7X2AAXSEE13000,SEE13000,"$50,785",,Ford,,XL,,,,,,,,,
1FT7X2AA6SEC37806,SEC37806,"$50,950",,Ford,,XL,,,,,,,,,
1FT7X2AA1SEC18905,SEC18905,"$51,260",,Ford,,XL,,,,,,,,,
1FT7X2BA4SEE12987,SEE12987,"$55,480",,Ford,,XL,,,,,,,,,
1FTBF2AT6SED15368,SED15368,"$59,490",,Ford,,XL,,,,,,,,,
1FT8W2BN9SED68981,SED68981,"$61,660",,Ford,,XL,,,,,,,,,
1FT8W2BN5SED69108,SED69108,"$61,660",,Ford,,XL,,,,,,,,,
1FT7W2BN7SEC36684,SEC36684,"$62,250",,Ford,,XLT,,,,,,,,,
